Title,Price,Link
아쿠아맨과 로스트 킹덤 (Aquaman and The Lost Kingdom),"₩11,000",https://play.google.com/store/movies/details/%EC%95%84%EC%BF%A0%EC%95%84%EB%A7%A8%EA%B3%BC_%EB%A1%9C%EC%8A%A4%ED%8A%B8_%ED%82%B9%EB%8D%A4_Aquaman_and_The_Lost_Kingdom?id=2_gzWXQdhjE.P
더 마블스,"₩10,900",https://play.google.com/store/movies/details/%EB%8D%94_%EB%A7%88%EB%B8%94%EC%8A%A4?id=DiWkAp_hvjk.P
나폴레옹  Napoleon,"₩4,000",https://play.google.com/store/movies/details/%EB%82%98%ED%8F%B4%EB%A0%88%EC%98%B9_Napoleon?id=t3YIFtmrt0E.P
말하고 싶은 비밀,"₩10,000",https://play.google.com/store/movies/details/%EB%A7%90%ED%95%98%EA%B3%A0_%EC%8B%B6%EC%9D%80_%EB%B9%84%EB%B0%80?id=wFRBXzqprNU.P
프레디의 피자가게,"₩1,800",https://play.google.com/store/movies/details/%ED%94%84%EB%A0%88%EB%94%94%EC%9D%98_%ED%94%BC%EC%9E%90%EA%B0%80%EA%B2%8C?id=-JhIH07Rw6Y.P
무티 : 주술 살인,"₩11,000",https://play.google.com/store/movies/details/%EB%AC%B4%ED%8B%B0_%EC%A3%BC%EC%88%A0_%EC%82%B4%EC%9D%B8?id=jSJNme5VjCk.P
폭력의 근원,"₩2,500",https://play.google.com/store/movies/details/%ED%8F%AD%EB%A0%A5%EC%9D%98_%EA%B7%BC%EC%9B%90?id=Qo88dFzOrEA.P
타이치2 히어로,"₩2,500",https://play.google.com/store/movies/details/%ED%83%80%EC%9D%B4%EC%B9%982_%ED%9E%88%EC%96%B4%EB%A1%9C?id=Yid0N0K14oQ.P
어벤저,"₩1,500",https://play.google.com/store/movies/details/%EC%96%B4%EB%B2%A4%EC%A0%80?id=xZ61RaHikAk.P
디스토티드,"₩1,650",https://play.google.com/store/movies/details/%EB%94%94%EC%8A%A4%ED%86%A0%ED%8B%B0%EB%93%9C?id=bOBoHNgfC6M.P
로빈후드,"₩11,000",https://play.google.com/store/movies/details/%EB%A1%9C%EB%B9%88%ED%9B%84%EB%93%9C?id=r_4hSqeXRoo.P
일 부코,"₩11,000",https://play.google.com/store/movies/details/%EC%9D%BC_%EB%B6%80%EC%BD%94?id=FWYLVCvL708.P
헤라클레스:전설의부활,"₩2,500",https://play.google.com/store/movies/details/%ED%97%A4%EB%9D%BC%ED%81%B4%EB%A0%88%EC%8A%A4_%EC%A0%84%EC%84%A4%EC%9D%98%EB%B6%80%ED%99%9C?id=QtFc2QYCzms.P
해결사,"₩2,500",https://play.google.com/store/movies/details/%ED%95%B4%EA%B2%B0%EC%82%AC?id=kU47pdvL3f8.P
